City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Trairi,BR,79.47,few clouds,-3.2778,-39.2689,janelas do mar
488,Baihar,IN,57.76,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
489,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
491,Koutiala,ML,76.69,overcast clouds,12.3917,-5.4642,Hotel La Chaumiere
492,Gimli,CA,17.62,light snow,50.6336,-96.9907,Lakeview Gimli Resort
494,Mali,GN,64.87,overcast clouds,12.079,-12.2982,Hotel La Dame de Mali
496,Goianesia,BR,77.02,scattered clouds,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
497,Lethem,GY,84.54,overcast clouds,3.3803,-59.7968,Savannah Inn
498,Mitchell,US,24.12,overcast clouds,43.7094,-98.0298,Kelly Inn & Suites
499,Kamaishi,JP,42.26,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
500,Sochi,RU,53.69,overcast clouds,43.6,39.7303,Sochi Briz
501,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
502,Point Pleasant,US,49.96,clear sky,40.0832,-74.0682,Point Pleasant Manor
503,Plainview,US,47.88,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
504,Chengde,CN,34.72,clear sky,40.9725,117.9361,Super 8 Hotel
505,Ko Samui,TH,81.07,overcast clouds,9.5357,99.9357,The Passage
506,Bayburt,TR,38.3,overcast clouds,40.2589,40.2278,Bayburt Otel Konaklama
507,West Wendover,US,34.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
508,Atar,MR,79.05,clear sky,20.5169,-13.0499,Oumou Elghoura
509,Nanakuli,US,84.15,scattered clouds,21.3906,-158.1547,Camp Pālehua
510,Waw,SS,77.22,scattered clouds,7.7029,27.9953,Universal Gab Hotel
511,Havoysund,NO,37.63,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
512,Ternate,ID,80.64,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
513,Itarema,BR,79.21,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
514,Dezhou,CN,45.18,clear sky,37.4486,116.2925,Zhongtai International Hotel
515,Aasiaat,GL,11.7,overcast clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
516,Windsor,CA,40.03,overcast clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
518,Srivardhan,IN,72.72,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
520,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
521,High Level,CA,15.91,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
522,Kristiansund,NO,48.85,clear sky,63.1115,7.732,Thon Hotels Storgata
523,Mao,ES,64.96,few clouds,39.8885,4.2658,ARTIEM Capri
524,Margate,GB,56.89,moderate rain,51.3813,1.3862,Premier Inn Margate hotel
526,Hamada,JP,52.41,overcast clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
527,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
528,Nampula,MZ,75.15,clear sky,-15.1165,39.2666,Ruby Backpackers
529,Omboue,GA,75.45,light rain,-1.5746,9.2618,Hotel Olako
530,Bela,IN,66.9,clear sky,25.9333,81.9833,Raj Bhawan
531,Alice Springs,AU,60.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
533,Basoko,CD,69.71,moderate rain,1.2391,23.616,Jackyna Hotel
534,Jiuquan,CN,31.59,clear sky,39.7432,98.5174,Jiuquan Hotel
535,Kangavar,IR,47.8,overcast clouds,34.5043,47.9653,خانه معلم کنگاور
536,Aklavik,CA,10.4,broken clouds,68.2191,-135.0107,Aklavik Inn
537,Maracacume,BR,78.69,scattered clouds,-2.0428,-45.9592,Hotel Ramos
538,Puerto Lempira,HN,82.54,broken clouds,15.2667,-83.7667,Polloki
539,Bumba,CD,70.56,moderate rain,2.1833,22.4667,Père Carlos
540,Palomares,MX,75.38,light rain,17.15,-95.0667,Hotel Monarca
541,Beni,CD,62.06,light rain,0.5,29.4667,Albertine hotel
542,Hofn,IS,44.76,overcast clouds,64.2539,-15.2082,Hótel Höfn
543,Huanren,CN,33.17,clear sky,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
544,Esperance,AU,60.33,overcast clouds,-33.8667,121.9,Hospitality Esperance
545,Jibuti,DJ,70.93,clear sky,11.5,42.5,Orchid Main Camp Goubet
546,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
547,Siderno,IT,63.34,overcast clouds,38.2779,16.302,Grand Hotel President
548,Waynesville,US,43.88,scattered clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
